gvkeyx,bkvlps,dvrate,epsx12,prccm,datadate,tic
000003,,15.0880,25.2600,1076.9200,20020430,I0003
000003,,15.0880,25.2600,1067.1400,20020531,I0003
000003,,16.5800,27.3600,989.8200,20020630,I0003
000003,,16.5800,27.3600,911.6200,20020731,I0003
000003,,16.5800,27.3600,916.0700,20020831,I0003
000003,,15.6040,30.6900,815.2800,20020930,I0003
000003,,15.6040,30.6900,885.7700,20021031,I0003
000003,,15.6040,30.6900,936.3100,20021130,I0003
000003,324.1400,17.0240,28.2400,879.8200,20021231,I0003
000003,,17.0240,28.2400,855.7000,20030131,I0003
000003,,17.0240,28.2400,841.1500,20030228,I0003
000003,,15.6880,30.9400,848.1800,20030331,I0003
000003,,15.6880,30.9400,916.9200,20030430,I0003
000003,,15.6880,30.9400,963.5900,20030531,I0003
000003,,16.3400,35.1400,974.5000,20030630,I0003
000003,,16.3400,35.1400,990.3100,20030731,I0003
000003,,16.3400,35.1400,1008.0100,20030831,I0003
000003,,17.2880,39.2200,995.9700,20030930,I0003
000003,,17.2880,39.2200,1050.7100,20031031,I0003
000003,,17.2880,39.2200,1058.2000,20031130,I0003
000003,367.1737,20.2200,49.4700,1111.9200,20031231,I0003
000003,,20.2200,49.4700,1131.1300,20040131,I0003
000003,,20.2200,49.4700,1144.9400,20040229,I0003
000003,,18.2440,52.9300,1126.2100,20040331,I0003
000003,,18.2440,52.9300,1107.3000,20040430,I0003
000003,,18.2440,52.9300,1120.6800,20040531,I0003
000003,,18.6560,57.1800,1140.8400,20040630,I0003
000003,,18.6560,57.1800,1101.7200,20040731,I0003
000003,,18.6560,57.1800,1104.2400,20040831,I0003
000003,,19.5320,58.8900,1114.5800,20040930,I0003
000003,,19.5320,58.8900,1130.2000,20041031,I0003
000003,,19.5320,58.8900,1173.8200,20041130,I0003
000003,414.7490,21.3360,59.7500,1211.9200,20041231,I0003
000003,,21.3360,59.7500,1181.2700,20050131,I0003
000003,,21.3360,59.7500,1203.6000,20050228,I0003
