"Date","Price","Open","High","Low","Change %"
"Feb 97","6.556","6.556","6.556","6.556","0.86"
"Jan 97","6.500","6.500","6.500","6.500","1.09"
"Dec 96","6.430","6.430","6.430","6.430","6.28"
"Nov 96","6.050","6.050","6.050","6.050","-4.57"
"Oct 96","6.340","6.340","6.340","6.340","-5.37"
"Sep 96","6.700","6.700","6.700","6.700","-3.53"
"Aug 96","6.945","6.945","6.945","6.945","2.13"
"Jul 96","6.800","6.800","6.800","6.800","1.19"
"Jun 96","6.720","6.720","6.720","6.720","-1.90"
"May 96","6.850","6.850","6.850","6.850","2.70"
"Apr 96","6.670","6.670","6.670","6.670","5.37"
"Mar 96","6.330","6.330","6.330","6.330","3.77"
"Feb 96","6.100","6.100","6.100","6.100","9.32"
"Jan 96","5.580","5.580","5.580","5.580","0.09"
"Dec 95","5.575","5.575","5.575","5.575","-2.96"
"Nov 95","5.745","5.745","5.745","5.745","-4.63"
"Oct 95","6.024","6.024","6.024","6.024","-2.56"
"Sep 95","6.182","6.182","6.182","6.182","-1.65"
"Aug 95","6.286","6.286","6.286","6.286","-2.15"
"Jul 95","6.424","6.424","6.424","6.424","3.50"
"Jun 95","6.207","6.207","6.207","6.207","-1.26"
"May 95","6.286","6.286","6.286","6.286","-10.90"
"Apr 95","7.055","7.055","7.055","7.055","-1.99"
"Mar 95","7.198","7.198","7.198","7.198","-0.10"
"Feb 95","7.205","7.205","7.205","7.205","-4.93"
"Jan 95","7.579","7.579","7.579","7.579","-3.22"
"Dec 94","7.831","7.831","7.831","7.831","-0.95"
"Nov 94","7.906","7.906","7.906","7.906","1.20"
"Oct 94","7.812","7.812","7.812","7.812","2.68"
"Sep 94","7.608","7.608","7.608","7.608","5.99"
"Aug 94","7.178","7.178","7.178","7.178","0.91"
"Jul 94","7.113","7.113","7.113","7.113","-2.89"
"Jun 94","7.325","7.325","7.325","7.325","2.42"
"May 94","7.152","7.152","7.152","7.152","1.58"
"Apr 94","7.041","7.041","7.041","7.041","4.50"
"Mar 94","6.738","6.738","6.738","6.738","9.86"
"Feb 94","6.133","6.133","6.133","6.133","8.64"
"Jan 94","5.645","5.645","5.645","5.645","-2.45"
"Dec 93","5.787","5.787","5.787","5.787","-0.52"
"Nov 93","5.817","5.817","5.817","5.817","7.32"
"Oct 93","5.420","5.420","5.420","5.420","0.86"
"Sep 93","5.374","5.374","5.374","5.374","-1.32"
"Aug 93","5.446","5.446","5.446","5.446","-6.25"
"Jul 93","5.809","5.809","5.809","5.809","0.54"
"Jun 93","5.778","5.778","5.778","5.778","-5.43"
"May 93","6.110","6.110","6.110","6.110","1.68"
"Apr 93","6.009","6.009","6.009","6.009","-0.25"
"Mar 93","6.024","6.024","6.024","6.024","0.18"
"Feb 93","6.013","6.013","6.013","6.013","-5.47"
"Jan 93","6.361","6.361","6.361","6.361","-4.92"
"Dec 92","6.690","6.690","6.690","6.690","-3.44"
"Nov 92","6.928","6.928","6.928","6.928","2.05"
"Oct 92","6.789","6.789","6.789","6.789","6.85"
"Sep 92","6.354","6.354","6.354","6.354","-3.79"
"Aug 92","6.604","6.604","6.604","6.604","-1.37"
"Jul 92","6.696","6.696","6.696","6.696","-5.99"
"Jun 92","7.123","7.123","7.123","7.123","-2.72"
"May 92","7.322","7.322","7.322","7.322","-3.44"
"Apr 92","7.583","7.583","7.583","7.583","0.70"
"Mar 92","7.530","7.530","7.530","7.530","3.83"
"Feb 92","7.252","7.252","7.252","7.252","-0.33"
"Jan 92","7.276","7.276","7.276","7.276","8.61"
"Dec 91","6.699","6.699","6.699","6.699","-9.15"
"Nov 91","7.374","7.374","7.374","7.374","-0.65"
"Oct 91","7.422","7.422","7.422","7.422","-0.40"
"Sep 91","7.452","7.452","7.452","7.452","-4.63"
"Aug 91","7.814","7.814","7.814","7.814","-4.20"
"Jul 91","8.157","8.157","8.157","8.157","-0.91"
"Jun 91","8.232","8.232","8.232","8.232","2.12"
"May 91","8.061","8.061","8.061","8.061","0.54"
"Apr 91","8.018","8.018","8.018","8.018","-0.57"
"Mar 91","8.064","8.064","8.064","8.064","0.24"
"Feb 91","8.045","8.045","8.045","8.045","0.30"
"Jan 91","8.021","8.021","8.021","8.021","-0.72"
"Dec 90","8.079","8.079","8.079","8.079","-2.14"
"Nov 90","8.256","8.256","8.256","8.256","-4.30"
"Oct 90","8.627","8.627","8.627","8.627","-2.08"
"Sep 90","8.810","8.810","8.810","8.810","-0.55"
"Aug 90","8.859","8.859","8.859","8.859","6.08"
"Jul 90","8.351","8.351","8.351","8.351","-0.85"
"Jun 90","8.423","8.423","8.423","8.423","-2.26"
"May 90","8.618","8.618","8.618","8.618","-5.01"
"Apr 90","9.073","9.073","9.073","9.073","5.24"
"Mar 90","8.621","8.621","8.621","8.621","1.10"
"Feb 90","8.527","8.527","8.527","8.527","1.23"
"Jan 90","8.423","8.423","8.423","8.423","6.18"
"","","","","",""
"","Highest:9.073","Lowest:1.381","Difference:7.692","Average:4.812","Change %:-71.398"
